Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_119 [481],ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / SHIELD STAGE,-15.95,-5.70,"BASALT, ALKALINE [481]",16.92,14.00,30.00
s_RP17 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,MUGEARITE [1230],15.01,14.00,38.20
s_317 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.14,-23.68,BASANITE [13086],15.66,14.00,47.00
s_TLP 46-1 [19949],CANARY ISLANDS / LA PALMA / FUEGO,28.50,-18.00,PHONOTEPHRITE [19949],17.04,14.00,80.00
s_P12 [1238],CAMEROON LINE / PRINCIPE,1.62,7.45,TRISTANITE [1238],19.54,14.00,165.00
s_P5 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.10,"BASALT, ALKALINE [756] / BASALT [23139]",15.36,14.04,37.16
RRT56,Rurutu,-22.42,-151.33,,14.59,14.44,29.86
s_IC-0102 [14961],ICELAND / ICELAND / HEKLA,64.02,-19.65,"ANDESITE, BASALTIC [14961]",14.40,14.63,23.01
s_AZ05-P [19003],AZORES / SAO JORGE,38.56,-27.87,NOT GIVEN [19003],15.62,15.00,18.00
s_H1390 [947],CANARY ISLANDS / GRAN CANARIA / HOGARZALES FORMATION,28.00,-15.60,THOLEIITE [947],14.14,15.00,21.79
s_75-10 [6967],SAMOAN ISLANDS / MANUA ISLANDS / TAU ISLAND,-14.18,-169.30,BASALT [6967],16.29,15.00,27.60
s_GM92-127 [973],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT RABOUILLERE,-48.55,68.50,"BASALT, TRANSITIONAL [973] / BASALT [5176]",12.69,15.00,32.20
s_AZ05-J [19003],AZORES / TERCEIRA,38.69,-27.36,NOT GIVEN [19003],15.83,15.00,39.00
s_PIT-4A [19601],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.10,"BASALT, ALKALINE [19601] / BASALT [757]",14.97,15.00,44.20
s_109952 [8504],CAPE VERDE ISLANDS / SAO ANTAO / OLDER VOLCANICS (SAO ANTAO),17.00,-25.00,BASANITE [8504],18.23,15.00,90.00
s_MH84-3 [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE / WAAWAA TRACHYTE MEMBER,19.65,-155.82,TRACHYTE [6576],17.40,15.00,167.00
T568,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,15.51,16.00,54.00
s_IC-0313 [14961],ICELAND / ICELAND / HEKLA,64.02,-19.65,"ANDESITE, BASALTIC [14961]",14.43,16.44,23.07
s_114890 [14545],CAPE VERDE ISLANDS / SANTIAGO / MONTE DAS VACAS FORMATION,14.94,-23.69,NOT GIVEN [14545],15.26,16.66,57.00
s_P12 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.10,"BASALT, ALKALINE [756] / BASALT [23139]",15.42,16.87,28.52
ATU115,Atiu,-19.98,-158.10,,15.08,16.96,43.51
s_HO-1 [313] / s_HO1 [5043],HAWAIIAN ISLANDS / MAUI / HALEAKALA / SHIELD STAGE / HONOMANU SERIES,20.72,-156.17,THOLEIITE [313] / TRACHYBASALT [5043],15.20,17.00,0.82
s_J2-551-11 [18767],HAWAIIAN ISLANDS / OAHU,21.64,-158.69,BASALT [18767],14.19,17.00,5.60
s_115-079 [5653],CAPE VERDE ISLANDS / SAO VICENTE / OLD VOLCANICS,14.90,-24.30,BASANITE [5653],15.39,17.00,27.50
s_J2-551-8 [18767],HAWAIIAN ISLANDS / OAHU,21.63,-158.69,BASALT [18767],17.48,17.00,30.40
